noticeIdentifier,noticeVersion,procedureIdentifier,lotIdentifier,formType,noticeType,publicationDate,publicationDateBerlin,matchedVia,matchedCpvCodes,mainClassificationCode,additionalClassificationCodes,internalIdentifier,title,description,mainNature,estimatedValue,estimatedValueCurrency,buyerNames,buyerCities,locations,procedureType,procedureAccelerated,durationStartDate,durationEndDate,durationPeriod,durationPeriodUnit,guaranteeRequired,suitableForSMEs,submissionDeadlineStatus,noticeUrl,lotUrl
25827482,1,,LOT-0000,competition,cn-standard,2026-09-16T19:00:04Z,2026-09-16 21:00:04+02:00,lot,45,45,"43,44,71",,IAF Freiburg i. Br. RV - Reinraumdecken und -wände - 91-60000-2050-350 RV Reinraumdecken und -wände PR1279139-2050-B a),"Siehe PDF Datei

91-60000-2050-350 RV Reinraumdecken und -wände PR1279139-2050-B",,,,"Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V. - B12 - Vergabestelle Bau - Hansastr. 27c, 80686 München",,"79108 IAF Freiburg i. Br., Tullastraße 72 / DEU",beabsichtigte Beschränkte Ausschreibung,false,,,,,,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=25827482,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=25827482&lotId=LOT-0000
25827454,1,,LOT-0000,competition,cn-standard,2026-09-16T19:00:03Z,2026-09-16 21:00:03+02:00,lot,45240000-1,45240000-1,,,2703300103 - Herstellung einer dauerstandsicheren Rampe zur Bewirtschaftung am RL 12,"Bezeichnung des Auftrags:Herstellung einer dauerstandsicheren Rampe zur Bewirtschaftung am RL 12

Vergabenummer:2703300103

Ausführungsfrist: 11.01.2027 bis 30.11.2027

Ort der Leistung:Bundesland Brandenburg, Landkreis Oberspreewald-Lausitz, 03205 Groß Jehser, OT Mallenchen

Umfang:

Die vorhandene Rampe am RL 12 (Drehnaer See) ist aus geotechnischen Gesichtspunkten nicht dauerstandsicher. Die Möglichkeiten zum Einsetzen von Booten oder Gewässerbehand-lungsschiffen sind derzeit stark eingeschränkt. Zur weiteren Bewirtschaftung des Restlochs 12 ist eine dauerstandsichere Rampe herzustellen. Die Rampe ist unter Beachtung folgender Randbedingungen zu errichten:
• Neigung der Rampe 1:10
• Befahrbare Breite von 6 m
• zulässiges Gesamtgewicht der Fahrzeuge: 40 t ( zulässige Achslast von 12 t)
• mit Sattelaufliegern (Trailer mit Boot o. ä.) befahrbar
• Einsatz eines ca. 34 m langen Lastzuges bestehend aus Trailer und Zugmaschine
• Anpassung der vorhandenen Zufahrt zur Pumpstation an die Trasse der neuen Rampe zum See
Folgende Leistungen sind umzusetzen:
• Baustelleneinrichtung und Baufeldfreimachung auf ca. 2.600 m²
• Bauzeitliche Grundwasserabsenkung mittels Lanzen (ca. 40 St.) und Vakuumpumpen
• wasserseitiger Voraushub (ca. 1.100 m³)
• landseitiger Voraushub (ca. 1.200 m³)
• Aufbau des Dammkörper mittels Mineralgemisch (ca. 3.800 m³), Geogitter (ca. 3.900 m²), Deckschicht (ca. 2.200 m²) und Wasserbausteinen (ca. 2.200 t)
• wasserseitige Herstellung des Manövrierbereiches (Seeboden lösen und verklappen: ca. 8.500 m³; Herstellen Filterschicht ca. 1.700 m³, Steinsicherung ca. 3.000 m³)
• Entsorgungsleistungen
• Bereitstellung und Vorhalten der erforderlichen Technik (u.a. Langarmbagger für land- und wasserseitige Arbeiten, Klappschute mit Schubboot, Amphibisches Transportgerät)
Die Maßnahme steht unter Bergaufsicht: Ja
Die Flächen, auf denen die Leistungen erbracht werden, befinden sich im grundbruch- und setzungsfließgefährdeten Bereichen: Ja
Für die Ausführung des Auftrags wird die VOB/B vereinbart. Der Auftraggeber behält sich eine Änderung der Leistungen gemäß den Regelungen der VOB/B vor.
Der Auftragnehmer hat innerhalb von 14 Kalendertagen nach Versand des Zuschlagsschreibens dem Projektmanagement des Auftraggebers folgende Nachweise zu übergeben:
- Die für die Ausführung maßgeblich vorgesehene Gerätetechnik (Fbl. LMBV-GV)
Die Anforderungen an die Gerätetechnik und Materialien sind der Leistungsbeschreibung und dem Leistungsverzeichnis zu entnehmen.
Das Formblatt Entsorgungskonzept ist vor Beginn der Entsorgung vorzulegen.

Bauleistung, Wasserbauarbeiten, Herstellung Rampe, Baufeldfreimachung, Voraushub, Aufbau Dammkörper",,,,"LMBV mbH, Knappenstraße 1, 01968 Senftenberg",,"Bundesland Brandenburg, Landkreis Oberspreewald-Lausitz, 03205 Groß Jehser, OT Mallenchen / DEU",de-open,false,,,,,,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=25827454,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=25827454&lotId=LOT-0000
25827258,1,,LOT-0000,competition,cn-standard,2026-09-16T19:00:02Z,2026-09-16 21:00:02+02:00,lot,45232000-2,45232000-2,,,326036_1 Neubau Leichtbauhalle,"Das Straßenbauamt Stralsund beabsichtigt, nach erfolgloser öffentlicher Ausschreibung,
die oben genannte Ausschreibung im Zuge einer beschränkten Ausschreibung auf www.vergabe.rib.de zu bergeben.

Neubau, Leichtbauhalle, Straßenbauamt, Stralsund",,,,Straßenbauamt Stralsund,,Bundesmeisterei Stralsund / DEU,beabsichtigte Beschränkte Ausschreibung,false,,,,,,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=25827258,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=25827258&lotId=LOT-0000
c62abfd1-f12f-483b-ad30-083a126132f6,1,dd1de1cc-29e0-439a-a4e9-db0ea7b433fc,LOT-0000,competition,cn-standard,2026-09-16T14:22:05Z,2026-09-16 16:22:05+02:00,lot,45000000,45000000,"43000000,44000000,71000000",SLB-2026-0384,"Metallbauarbeiten Türen - Brandschutzmaßnahmen, Justizvollzugsanstalt Halle Geb. 2.0 + 3.1 + 3.4 (SLB-2026-0384)","Gebäude 2.0-Hafthaus (16 Stück Stahltüren)
4 Stück RD-1-RC (OTS bzw. FSA), 1 Stück T90-1-RC, 1 Stück RC,
10 Stück T30-RD-1-RC (OTS bzw. FSA),
Gebäude 3.1-Küche (8 Stück Stahltüren)
5 Stück T30-1-RD-RC, 1 Stück T30-2-RD-RC, 1 Stück T30-1-RC, 1 Stück RC
Gebäude 3.4-Kammer+Wäscherei (14 Stück Stahltüren)
8 Stück T30-1-RD-RC (OTS bzw. FSA), 1 Stück T30-2-RD-RC (FSA)
1 Stück T30-RC1 (FSA), 3 Stück T30-1-DS-RC, 1 Stück T30-1-DS-RC",works,,,"Amt für Immobilien- und Baumanagement Magdeburg, Zentraleinheit ZE112 - Vergabe",Magdeburg,,de-open,false,2027-01-11T00:00:00+01:00,,,,true,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=c62abfd1-f12f-483b-ad30-083a126132f6,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=c62abfd1-f12f-483b-ad30-083a126132f6&lotId=LOT-0000
57f6110d-aabb-4481-b481-a36e978c631c,1,13bbf6b6-0d21-468f-9f8a-02a3ba241437,LOT-0000,competition,cn-standard,2026-09-16T13:22:04Z,2026-09-16 15:22:04+02:00,lot,45000000,45000000,"43000000,44000000,71000000",633103/53/2026,"Hort ""An der Weißen Elster"" - Teilsanierung und Modernisierung, Ertüchtigung Brandschutz und Rettungswege, Freiligrathstraße 47 in 06712 Zeitz, Los 13 Malerarbeiten","Hort ""An der Weißen Elster"" - Teilsanierung und Modernisierung, Ertüchtigung Brandschutz und Rettungswege, Freiligrathstraße 47 in 06712 Zeitz,
Los 13 Malerarbeiten
- Ausbesserungsarbeiten an Putz und Vliestapete
- 1.200 m2 Wand streichen
- 420 m2 Decke streichen
- 200 m Rohre streichen",works,,,Stadt Zeitz - Der Oberbürgermeister - Fachbereich Ordnungswesen - Vergabestelle,Zeitz,,de-open,false,2026-11-12T00:00:00+01:00,,,,true,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=57f6110d-aabb-4481-b481-a36e978c631c,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=57f6110d-aabb-4481-b481-a36e978c631c&lotId=LOT-0000
b8c743e3-0629-4d28-9e6f-5a669b05f017,01,c4384b17-2459-47d9-9fee-d92e91195d69,LOT-0000,competition,cn-standard,2026-09-16T13:14:04Z,2026-09-16 15:14:04+02:00,lot,45000000,45000000,,SIHB-2026-0062,"1026_Schadstoffbeseitigung, Abbruch und Entsorgung, Energetische Sanierung der Turnhalle Lutherschule in Bremerhaven","Schadstoffbeseitigung, Abbruch und Entsorgung",works,,,Magistrat der Stadt Bremerhaven vertreten durch den Wirtschaftsbetrieb Seestadt Immobilien,Bremerhaven,"Untranslated value (Lutherschule Turnhalle, Dionysiusstraße 52, 27576 Bremerhaven-Lehe) / DEU",open,,2026-11-17T00:00:00+01:00,2027-01-18T23:59:59+01:00,,,,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=b8c743e3-0629-4d28-9e6f-5a669b05f017,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=b8c743e3-0629-4d28-9e6f-5a669b05f017&lotId=LOT-0000
533019ec-0a4e-4ace-b65a-80ad779a29ec,01,4d84870e-a1ef-468d-9c5a-6eaacac588b7,LOT-0000,competition,cn-standard,2026-09-16T13:08:04Z,2026-09-16 15:08:04+02:00,lot,45000000,45000000,,SIHB-2026-0063,"1026_Gerüstbauarbeiten, Energetische Sanierung der Turnhalle Lutherschule in Bremerhaven",Gerüstbau / Witterungsschutz u. Baustelleneinrichtung,works,,,Magistrat der Stadt Bremerhaven vertreten durch den Wirtschaftsbetrieb Seestadt Immobilien,Bremerhaven,"Untranslated value (Lutherschule Turnhalle, Dionysiusstraße 52, 27576 Bremerhaven-Lehe) / DEU",open,,2026-11-10T00:00:00+01:00,2027-07-20T23:59:59+02:00,,,,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=533019ec-0a4e-4ace-b65a-80ad779a29ec,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=533019ec-0a4e-4ace-b65a-80ad779a29ec&lotId=LOT-0000
a9a248f5-fa5a-471c-8cb2-30ea888267a3,2,c5f6b758-5388-4293-8657-b1caf81514ae,LOT-0000,change,cn-standard,2026-09-16T10:20:05Z,2026-09-16 12:20:05+02:00,lot,45000000,45000000,"43000000,44000000,71000000",60-2026-07-02,Sanierung Friedrich-Ludwig-Jahn-Museum Freyburg (Unstrut) - Spezialtiefbau - Giebelsicherung (Los 1),"'- Herstellung von 8 Mikropfählen Ø 150 mm (Längen ca. 6,5 - 12,0 m)
- ca. 66 m Mikropfähle einschließlich Bohr- und Verpressarbeiten
- 12 m verrohrte Bohrstrecken
- Herstellung von 2 Stahlbeton-Pfahlkopfplatten
- ca. 1,2 m³ Stahlbeton (Pfahlkopfplatten)
- Bewehrungsstahl
- Temporäre Trag- und Abfangkonstruktionen zur Giebel- und Pfeilersicherung
- Injektions- und Verpressarbeiten zur Lastumlagerung
- Denkmalgerechte Wiederherstellung des historischen Mauerwerks
- SiGeKo:
-- Qualifikation RAB 30
-- Übernahme und Einrichtung der Koordination
-- Sicherheits- und Gesundheitsplan erstellen und fortschreiben
-- Baustellenbegehungen
-- Abschlussdokumentation",works,,,Stadt Freyburg (Unstrut) über Verbandsgemeinde Unstruttal,Freyburg (Unstrut),,de-open,false,2026-11-16T00:00:00+01:00,,,,true,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=a9a248f5-fa5a-471c-8cb2-30ea888267a3,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=a9a248f5-fa5a-471c-8cb2-30ea888267a3&lotId=LOT-0000
86a622d6-b5c8-42ae-8e4e-834ac610f252,2,2476bc07-25ab-46a2-96b4-06a34470deaf,LOT-0000,change,cn-standard,2026-09-16T09:22:04Z,2026-09-16 11:22:04+02:00,lot,45000000,45000000,"43000000,44000000,71000000",33/26,Bundesamt für Justiz in Bonn - Stahlblechtüren und Wartung (33/26),"Leistung: Stahlblechtüren und Wartung:
01. 1 St. Baustelleneinrichtung
02. 48 St. Stahlblechtüren
Die Vergabestelle weist darauf hin, dass zur Gewährleistung eines zügigen Verfahrens nur rechtzeitig bei der Vergabestelle eingegangene Bieteranfragen beantwortet werden können.
Fristende: 14.10.2026
ACHTUNG
Die Vergabeunterlagen können unentgeltlich, uneingeschränkt, vollständig und direkt
unter www.evergabe-online.de abgerufen werden. Es besteht keine Pflicht zur
Registrierung auf der Vergabeplattform. Über Änderungen der Vergabeunterlagen,
Nachsendungen, Bieterfragen, Antwortschreiben u.ä. werden Sie jedoch nur bei
vorheriger Registrierungautomatisch unterrichtet. Andernfalls sind Sie verpflichtet, sich
eigenständig die erforderlichen Informationen zu verschaffen.
„Informationen zur Datenerhebung gemäß Artikel 13 Datenschutz-Grundverordnung
(DSGVO) sind den Vergabeunterlagen aus dem beiliegenden Informationsblatt zu
entnehmen“.",works,,,Bundesamt für Bauwesen und Raumordnung in Vertretung der BImA,Bonn,,de-open,false,2027-04-28T00:00:00+02:00,,,,true,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=86a622d6-b5c8-42ae-8e4e-834ac610f252,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=86a622d6-b5c8-42ae-8e4e-834ac610f252&lotId=LOT-0000
cb0b417c-4949-40cb-babb-8d35ac5ecb26,1,b77aad7b-1fdc-4ca4-9d60-8de8681df2d6,LOT-0000,competition,cn-standard,2026-09-16T08:36:06Z,2026-09-16 10:36:06+02:00,lot,45000000,45000000,"43000000,44000000,71000000",29/65/2026,Stadtmauer Nordhausen 14. Bauabschnitt Bereich Theater; Mauerwerksanierung historische Stadtmauer,"1. Beschreibung
Die Stadt Nordhausen plant die Sanierung der Stadtmauer im Bereich Theater auf einer Gesamtlänge von 65 m. Die Mauer ist im Schnitt zwischen ca. 3,30 bis 5,0 m (Westseite) und zwischen 2,5 m bis 3,50 m (Ostseite) hoch. Die historische Stadtmauer wurde aus Dolomit Gestein mit Gipsmörtel erbaut. Die beidseitigen Ost- und Westwandflächen werden durch Steinersatz und Vermörteln der Fugen saniert. Die desolate Mauerkrone wird zurückgebaut und zweihäuptig wieder neu errichtet, wobei Dolomit Steine aus dem Bestand und neu zu liefernde Steine verwendet werden. Zudem werden Teilabschnitte der Mauerflächen mit Nadelankern und Hohlrauminjektion gesichert.
2. Art und Umfang der wesentlichen, hier ausgeschriebenen Leistung
- Fassadengerüst stellen ca. 530 m²
- Erdaushub am Mauerfuß ca. 22 m³
- Mauerkrone abbrechen ca. 90 m³
- Natursteinmauerung Mauerkrone ca. 90 m³
- Mauerkronenabdeckung herstellen ca. 110 m²
- Natursteinwand abbrechen ca. 50 m³
- Natursteinwandmauerung ca. 50 m³
- Mauerwerkverfugung ca. 500 m²
- Mauerwerksnadel DU 16 mm ca. 100 m
- Hohlrauminjektion ca. 1600 kg",works,,,Stadtverwaltung Nordhausen - Rechtsamt und Beteiligungen / Vergabestelle,Nordhausen,,de-open,false,2026-10-30T00:00:00+01:00,,,,true,,Extract from eForms XML,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=cb0b417c-4949-40cb-babb-8d35ac5ecb26,https://oeffentlichevergabe.de/ui/de/search/details?noticeId=cb0b417c-4949-40cb-babb-8d35ac5ecb26&lotId=LOT-0000
