noticeIdentifier,noticeVersion,contractIdentifier,changeNoticeVersionIdentifier,changeReasonCode,changeReasonDescription
deebdf92-64cc-4802-981c-de0c3eef80e2,01,,7e368343-ae28-4498-9ad9-783f1282b8be-01,cor-buy,Vertragspartei und Dienstleister
e4037a44-d382-4130-95c5-b24bacec472a,01,,8d6fbdab-83ef-4d98-8b1a-e56a2a248525-01,cor-pub,"Im Rahmen der Prüfung einer Bieterfrage wurde festgestellt, dass im Titel 02.01 des Leistungsverzeichnisses ein Anteil der Bauwasserversorgungsanlage bislang nicht berücksichtigt war.
Das Leistungsverzeichnis wurde daher entsprechend ergänzt."
531ef96a-411b-4e8d-9e60-ba326a97f149,01,,1e2e1a77-a06c-4b52-82ae-0c1d0d0c410a-01,cor-buy,"Änderung Eröffnungstermin, Bindefristende, Ausführungsfristen und Referenzen zu bestimmten Arbeiten"
1077025c-9104-45b0-8184-c7b1e3d129a7,01,,fe35744a-4262-4449-873c-f830120473bc-01,update-add,
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,,7abb1e09-7c7b-4061-ae3a-d5bf690da54d-01,update-add,"Der nachzuweisende durchschnittliche Jahresumsatz unter dem Kriterium ""Allgemeiner Jahresumsatz"" wurde auf mindestens 80 Mio. EUR aktualisiert.  Die Teilnahmefrist wurde dementsprechend auf den 23.09.2026 um 14 Uhr verlängert."
d67d21b0-4b54-4ba6-96e2-3b6b23819299,01,,ec8a0a1f-b03d-4e94-8fdd-0a80a4b3542c-01,cor-buy,Die ursprüngliche Anzahl der Arbeitstage in den Ausführungsfristen wird von 33 Tage auf 75 Tage korrigiert. Zudem wird die voraussichtliche Zeitplanung angepasst.
1b85bfe4-fb5b-49bb-84de-474fa2eb9ef5,01,,bc66f13c-54b2-4adc-9541-b3bf2be63a1d-01,cor-buy,Ziff. 5.1 Korrektur Angaben zur Eventualleistung
adbbb2a3-a548-485c-b584-b649f0cff1b3,01,,8424788f-a5b2-48b2-9d4b-c20cf8437fa8-01,cor-pub,Planunterlagen wurden aktualisiert und vollständig ersetzt
bdb7cd0f-27a9-49e6-be6e-c80723885512,01,,bf67a77b-8bb3-4787-9884-61d1a07f7950-01,cor-pub,Verschiebung Submissionstermin
3084e989-acb5-4689-8ebb-6bf0ad8e0903,01,,df650619-a9ac-4acf-8312-1d0d7a383843-01,cor-pub,neue Angebotsfrist (Ziff. 5.1.12.)
10b4365a-23af-4cbd-874f-5faa960c37e5,01,,ecab6be8-83ee-46b2-b046-ddf8e0b271c7-01,cor-buy,Ziff. 5.1 Korrektur Angaben zur Eventualleistung
2d885c65-7f8d-466b-ae79-a214d09abef4,01,,ea391869-27aa-49aa-a83f-23175d48df49-01,cor-buy,Präzisierung  Referenzen
81db0040-7ed0-434a-947e-7113d2568512,01,,7e3ac35e-33ed-4947-b094-6b8cecef2597-02,update-add,Aufgrund der technischen Migration der E-Vergabe-Plattform wird die Angebotsfrist in diesem Vergabeverfahren verschoben. Mit der Anpassung der Angebotsfrist verschiebt sich auch das Ende der Bindefrist.
c3a9b49a-2f04-4f8c-8eb2-c8341bbafabe,01,,83298eb9-40d1-4b29-b74b-d8de49383296-01,update-add,Termine geändert
ad444921-a025-4950-b270-afc0dd34dd39,01,,9eb67ea8-6f13-4a27-8168-b73e3d3717c0-01,update-add,Änderungen im Leistungsverzeichnis
b86b2a2d-f22f-4843-9c9e-47873e5a5838,01,,451e6abf-94ad-4d33-8682-87ae733c9db1-01,cor-buy,"Korrektur und Ergänzung der Vergabeunterlagen, Beantwortung von Bieterfragen."
5d148dca-836a-4cbe-8ad5-ef933ebbaa3b,01,,50de7abc-8ddc-42cc-942d-499c2b322271-01,update-add,Addition of information to the tender documents and the contract notice regarding the notification and declaration obligations under Regulation (EU) 2022/2560 on foreign subsidies distorting the internal market (Foreign Subsidies Regulation – FSR).
01a0a444-1c07-471e-b755-941f4becd2ee,01,,01a06220-073c-4185-a3ac-033e6d8d32d1-01,update-add,
dc92350b-924f-472a-8ea4-53cee8ca4be7,01,,a0e6c56b-ceda-49e2-8241-26f8c51bdb97-01,update-add,terminliche Gründe
8850e2ed-8211-4877-8ce3-ab6cabf3515f,01,,89d58124-5ed5-4a06-9a98-1954e5a69cd7-01,update-add,
ed6675ff-7b24-4be8-8fe8-77d6714633f2,01,,08efd79b-9b5c-4899-857f-98c2ecde975d-01,update-add,Die Angebots- und Bindefrist verlängert sich jeweils um eine Woche.
24f04cdc-1d87-4457-9ca5-1dfd450fe67b,01,,654f9d3a-0f54-4a9d-ad86-4b0db5fd739e-01,cor-buy,
4a448abd-7f1f-4052-987f-f9aea3df2fb9,01,,8f336f4f-18ac-422a-b941-206da28f24bc-01,update-add,"Bei der Übertragung der Dateien am vergangenen Freitag ist es leider zu einem Fehler gekommen, so dass falsche Unterlagen versandt worden sind."
d62756f0-2007-4111-b118-e5f44c943b18,01,,5264a947-056c-46c5-8fb7-7f3c1d5e0ea5-01,update-add,"Die Submission wurde von 16.09.2026, 11:00 Uhr, auf 17.09.2026, 13:00 Uhr verschoben. Die Angebotsdauer verlängert sich damit um einen Tag."
cb4cb836-775d-4166-864b-3717c808efc8,01,,aeb992a1-5383-418e-82e4-e0c56bd6b466-01,update-add,terminliche Gründe
fab52f0b-58ae-47ed-bbbc-1d3829b47040,01,,cf42950f-aa1f-4ce6-8b19-c393f7743694-01,cor-buy,"Änderung Terminplan. Aufgrund der eingegangenen Bieterfrage wurde der Ablauf der Angebotsfrist sowie alle folgendenen Termin angepasst, so dass die Bieter ausreichend Zeit für die Kalkulation haben."
b34d0781-ea79-41ab-9907-370f83e79047,01,,65648a48-d0b4-41a3-8ee8-bea00d7d5bb6-01,cor-buy,"Die Einreichfrist wurde verlängert und endet nunmehr am 06.10.2026 um 10.00 Uhr. Die Bindefrist wurde entsprechend verlängert und endet am 04.12.2026.
 
Es wurden keinerlei inhaltliche Änderungen am LV vorgenommen.
 "
a5670d06-f5c1-44a2-b02e-d00fe844880e,01,,2215d1ac-bde3-4414-ac2d-35eb62c4efe0-01,update-add,Verlängerung der Angebotsfrist
c454fa91-86f5-4f3c-9109-a3bc53e13198,01,,dbe31f36-2c09-462b-8631-205fd07d3507-01,cor-pub,Veränderung des Submissionstermin
2a55e205-4e71-40a0-ac8c-75e8bb465205,01,,c347aa5e-b671-42f9-8772-f96bfb059582-01,cor-buy,Austausch des Leistungsverzeichnis in pdf und gaeb Datei. Pos. 10.01.003 entfällt und wird nicht ersetzt. Leistungsverzeichnis wurde in den Vergabeunterlagen ausgetauscht.
97342522-2e60-41ee-b63e-7fd68f818a0c,01,,5fe808ea-82be-476d-84a0-cc8547d2520e-01,info-release,Bodengutachten hochgeladen.
48badf3d-488b-4187-a932-53f825f535a7,01,,d210b0ec-022c-44e0-b935-2fa7f6a6f3aa-01,update-add,Termine geändert
655042ea-1acb-49b4-af80-c050e20f7f66,01,,c2169543-0e23-45fe-8b8d-7e53d3a16126-01,update-add,terminliche Gründe
