noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,"Land Berlin, vertreten durch das Bezirksamt Treptow-Köpenick von Berlin",11-1393306000-19,Berlin,12414,DE300,DEU,,,buyer,,omu-lbeh,,,,
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,Vergabekammer des Landes Berlin,11-1300000V00-74,Berlin,10825,DE300,DEU,,,reviewer,,,,,,
7b083735-d2fe-4149-b920-ca6a524868e3,1,"Landeshauptstadt Erfurt, Stadtverwaltung, Stadtkämmerei, Verdingungsstelle",,Erfurt,99084,,DEU,,,buyer,,,,,,
62017582-b322-43ba-b234-99c6d10e7cde,1,"Landeshauptstadt Erfurt, Stadtverwaltung, Stadtkämmerei-Vergabestelle",,Erfurt,99084,,DEU,https://www.erfurt.de/ef111226.html,,buyer,,,,,,
8168d760-e364-4120-9df0-b30c308f22c7,1,"Landeshauptstadt Erfurt, Stadtverwaltung, Stadtkämmerei-Vergabestelle",,Erfurt,99084,,DEU,https://www.erfurt.de/ef111226.html,,buyer,,,,,,
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,"Land Hessen, vertreten durch den Landesbetrieb Bau und Immobilien Hessen, Zentrale Vergabe",wird bei Auftragserteilung mitgeteilt,Bad Nauheim,61231,DE71E,DEU,https://vergabe.hessen.de,,buyer,,koerp-oer-land,,,,
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,Vergabekammer des Landes Hessen bei dem Regierungspräsidium Darmstadt,DE 812 056 745,Darmstadt,64283,DE711,DEU,,,reviewer,,,,,,
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,Samtgemeinde Ilmenau(LK Lüneburg),Leitweg-ID 033555405-0-68,Melbeck,21406,DE935,DEU,https://www.samtgemeinde-ilmenau.de,,buyer,https://www.subreport-elvis.de,koerp-oer-kommun,,,,
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,Magistrat der Stadt Bremerhaven vertreten durch den Wirtschaftsbetrieb Seestadt Immobilien,unbekannt,Bremerhaven,27576,DE502,DEU,www.seestadt-immobilien.de,,buyer,,kommun-beh,,,,
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,"Vergabekammer Bremen bei der Senatorin für Klimaschutz,, Mobilität, Stadtentwicklung und Wohnungsbau",unbekannt,Bremen,28195,DE502,DEU,https://vergabe.bremen.de/NetServer/,,reviewer,,,,,,
