noticeIdentifier,noticeVersion,lotIdentifier,procedureIdentifier,formType,noticeType,publicationDate,matchedVia,matchedCpvCodes,internalIdentifier,title,description,mainNature,estimatedValue,estimatedValueCurrency
01a0a3ec-87a8-4430-be02-6ce86dc75850,01,LOT-0001,01a0a3eb-08b6-4eef-980b-03e69392262d,competition,cn-standard,2026-09-17T02:08:40Z,lot,"[""45232421""]",LOT-0001,LOT-0001,"Die Stadt Bad Waldsee plant die Erweiterung der biologischen und mechanischen Stufe der Kläranlage Bad Waldsee.
Die Erweiterung der biologischen Stufe - Neubau Belebungsbecken, Gebläsestation ist bereits abgeschlossen. 
Gegenstand dieser Ausschreibung ist der Neubau der Rechenhalle zur Erweiterung der mechanischen Stufe.",works,,
026cada1-120c-44ea-bff8-7b30a328d090,01,LOT-0000,3b1b99cb-cd81-4391-8be9-de8c3fe190f5,competition,cn-standard,2026-09-17T02:08:21Z,lot,"[""45262320"", ""45262321""]",3140-111_2_CBBE,Gussasphalt 2. BA,"BTE/Werkstattfügel + Verbinder
455m² Untergr. reinigen;50m² Schüttung,zementgeb.12-18mm;135m³ Schüttung,zementgeb.10-60mm;15m² Bodendämmung,Perlite20mm;25m² Bodendämmung,Perlite50mm;455m² Bodendämmung,Perlite30mm;425m² Gussasphaltestrich,farbig,AS-IC10-S35,D35mm;30m² Gussasphaltestrich,o.Farbe,AS-IC10-S35,D35mm;425m² Oberfl. schleifen,spachteln,Terrazzooptik,R9;155mTrennprofil,Flachst.V2A,70/3,gerade;8St Trennprofil,Flachst.V2A,703,gebogen,L=60-95cm;165m Randdämmstr. an Trennprofil,MW,H=100mm;425m² Gussasphalt versiegeln,Polymergrund;
BTF/Pausenhalle aus 1.BA
20,5m Gussasphalt+Unterbau abbrechen,Streifen B=27cm;65m² Oberfläche Gussasphalt nachschleifen,stumpf;125m² Oberfläche Gussasphalt nachschleifen,glatt;190m² Gussasphalt versiegeln,Polymergrund
Freianlagen/Mensahof
180m² Untergr. reinigen;180m² Bitumenhaltiges Bindemittel aufsprühen;180m² Gussasphaltdeckschicht,farbig,D35mm;180m² Gussasphalt schleifen,grob;180m² Gussasphalt schleifen,fein;180m² Gussasphalt versiegeln,Polymergrund;",works,1.00,EUR
05c30013-5b92-4ca5-956a-5a084dbbef1d,01,LOT-0000,1457b0b4-59f3-4818-a18b-861ef185213e,competition,cn-standard,2026-09-17T02:08:32Z,lot,"[""45261410""]",0,VE 3.07-Dachabdichtung- und Dachklempnerarbe,"Dachabdichtungs- und Dachklempnerarbeiten

Laborneubau Dachfläche 1:
1320 m²	Flachdachabdichtung mit Steinwolle-Dachdämmplatten und mehrlagiger Bitumenschweißbahn mit extensiver Begrünung auf Flachdach
325 m²	Kiesflächen 16/32 mm, d=8 cm
235 m		Mauerabdeckung als Attika-Abdeckung aus Aluminium
226 Stück	Auflastgehaltene PV-Unterkonstruktion
86 m²		Betonwerksteinplatten als Wartungsgang
3 Stück 	NRA-Flachdachfenster 1,50 x 1,20 m, Neigung  3 Grad
3 Stück 	Hauptentwässerung Retentionselement-Set Dachgully DN100 einschl. aller Einbauteile
5 Stück 	Notentwässerung Attikagully DN70 einschl. aller Einbauteile

Technikriegel Dachfläche 2:
479 m²		Flachdachabdichtung mit Wärmedämmung aus Polyurethan und mehrlagiger Bitumenschweißbahn mit extensiver Begrünung auf Flachdach
120 m²	Kiesflächen 16/32 mm, d=8 cm
102 m 	Brandwandverblechung aus Titan-Zinkblech
102 m	Mauerabdeckung als Attika-Abdeckung aus Aluminium
139 m²		Betonwerksteinplatten als Wartungsgang und als Terrasse
6 m		Absturzsicherung Flachdachgeländer
6 m		Sicherheitsgeländer an Attika, l= ca. 60 cm
3 Stück 	Hauptentwässerung Retentionselement-Set, Dachgully DN100 einschl. aller Einbauteile
2 Stück 	Notentwässerung Attikagully DN70 einschl. aller Einbauteile

Forschungshalle Dachfläche 3:
1591 m²	Flachdachabdichtung mit Steinwolle-Dachdämmplatten und mehrlagiger Bitumenschweißbahn mit extensiver Begrünung auf Flachdach
243 m²	Kiesflächen 16/32 mm, d=8 cm
132 m		Mauerabdeckung als Attika-Abdeckung aus Aluminium
274 Stück	Auflastgehaltene PV-Unterkonstruktion
93 m²		Betonwerksteinplatten als Wartungsgang
199 m		Absturzsicherung als Edelstahlseil mit Stützen und 1x Steigleiter
1 Stück		Persönliche Schutzausrüstung
3 Stück		Lichtband 14,00 x 3,90 m mit je einem Lüftungsflügel 2,90 x 2,10m
4 Stück 	Hauptentwässerung Retentionselement-Set, Dachgully DN70 einschl. aller Einbauteile
6 Stück 	Notentwässerung Attikagully DN70 einschl. aller Einbauteile",works,,
07499b4b-e1b6-44b1-93bb-67d2ae9aaa54,01,LOT-0001,ec1de13a-0b15-45d5-8581-df5de4d67c3b,competition,cn-standard,2026-09-17T02:08:14Z,lot,"[""45210000"", ""45262670""]",2026-VOBEU-23/5-019,Neubau der Friedensschule; Metallbau- / Schlosserarbeiten,"'- Staketengeländer inkl. Stahlwange ca. 146 m; Ausschnitte in Stahlwange, dreieckförmig ca. 230 Stck.; Holzhandläufe, rund, Ø 40 mm, ca. 272 m; Taktile Handlaufkennzeichnung 32 Stck.; Feuerlösch-Schutzschränke 11 Stck.Revi-Klappen 3 Stck..",works,,
08763a6e-46a6-4e98-84da-56be25797ade,01,LOT-0000,518cdce5-a523-43e7-881a-e21da6a42689,competition,cn-standard,2026-09-17T02:08:49Z,lot,"[""45331000"", ""45332400""]",0,Sanitär - Heizung,"Das Bestandsgebäude wird durch einen Erweiterungsbau, bestehend aus vier oberirdischen
Geschossen und einem Untergeschoss, ergänzt. Der Erweiterungsbau wird an der Südseite über
einen Verbindungsbau an das bestehende Schulgebäude angeschlossen.
Die Bauleistung betrifft:
Sanitär
- Schmutzwasserleitung und Zubehör
- Trinkwasserleitung und Zubehör
- Rohrleitungsarmaturen und Zubehör
- Installationselemente
- Sanitäre Einrichtungen
- Ausstattungen
- Dämmung Sanitär
- Brandschutz Sanitär
sowie Heizung
- Rohrleitungen und Zubehör
- Verteiler, Pumpen, Armaturen und Zubehör
- Fußbodenheizung, Heizkörper und Zubehör
- Dämmung Heizung
- Brandschutz Heizung",works,307803.95,EUR
0984f501-f713-4420-82eb-588fad59d289,01,LOT-0001,cbc18a91-7acd-4db4-98bd-003fb29899ae,competition,cn-standard,2026-09-17T02:08:44Z,lot,"[""45331200""]",37/2026 ZGM,Sanierung Erweiterung Alte Wanne / Lüftungstechnik,"Grobmassen:
Lüftungsgeräte 4 Stück
Lüftungskanal aus verzinktem Stahlblech 240 m2
Lüftungsleitungen, spiralgefalzt 230 Meter
Luftauslässe (Tellerventile, Auslässe, Lüftungsgitter) 47 Stück",works,,
09dea333-fcf3-44ad-b5ca-8ecd57b0cb65,01,LOT-0001,7e191db7-d875-44a3-bfdb-da7fe4b88021,competition,cn-standard,2026-09-17T02:06:07Z,lot,"[""45000000""]",HZ-2026-25,Bauleistungen im Bereich Niederspannung und Kabeltrassen für den Neubau Herzzentrum und Informatics for Life am Universitätsklinikum Heidelberg VE 443.01,Bauleistungen im Bereich Niederspannung und Kabeltrassen für den Neubau Herzzentrum und Informatics for Life am Universitätsklinikum Heidelberg VE 443.01,works,,
0cef5b4b-7127-48aa-a98c-80be378c0532,01,LOT-0001,d45cf8a6-b719-4f9e-98bf-49f7f092da0d,competition,cn-standard,2026-09-17T02:08:41Z,lot,"[""45111000"", ""45221250"", ""45232000"", ""45233120""]",c1612d26-982f-46ff-8294-a1bbb5989936,Betriebshof Käfertal - VE3 Vorabmaßnahmen,"Die Gesamtmaßnahme ""Umbau und Kapazitätserweiterung Käfertal Bahnhof und Betriebshof"" besteht aus drei Hauptkomponenten:
1. Umbau des Bahnhofs Käfertal mit den anschließenden Streckenteilen und Straßenknoten
2. Neubau der Betriebswerkstatt
3. Neubau der Abstellhalle unter Einbeziehung der bestehenden historischen Werkhalle

Die vorliegende Ausschreibung beinhaltet folgende Leistungen:
- Abbrucharbeiten (Garagen, Schüttgutboxen, Lagergebäude)
- Erdarbeiten
- Abtragen, Zwischenlagern und Wiederandecken des Mutterbodens
- Herstellen des Erd-Grund-Niveau, Einbringen von Erdmassen
- Tief-, Kanal- und Entwässerungsarbeiten
- Neubau Rigolen
- Kabel- und Leerrohrarbeiten
- Straßenbau
- Herstellung Fundamente für Oberleitungsmaste
- Herstellung von provisorischen Oberflächen für die Bauarbeiten
- Verkehrssicherungsleistungen mit Beschilderung und Markierung während der Bauzeit",works,,
102bccf8-a966-4bd3-a056-17b000244675,01,LOT-0001,73653641-8ddb-4c3a-80b8-170cb3f890a4,competition,cn-standard,2026-09-17T02:12:09Z,lot,"[""45333000""]",0001,Neubau kbo-Inn-Salzach-Klinikum - Errichtung Pflegegebäude BT C + D - 107_3-4135 Med.Gase BT C+D,"Bauteil C						
1 St. Sauerstoff-Reduzierstation			
1 St. Druckluft-Reduzierstation			
6 St. Bereichskontrolleinheit 2-fach			
50 St. Gasentnahmestelle Sauerstoff			
50 St. Gasentnahmestelle Druckluft			
6 St. CO2-Anschluss Wasserspender			
2.000 m Kupferrohr DN 10 bis DN 32			
250 St. Brandschutzdurchführung DN 10 bis DN 32			
1 St. WC-Container für eigenes Gewerk inkl. Unterhalt			

Bauteil D						
1 St. Sauerstoff-Reduzierstation			
1 St. Druckluft-Reduzierstation			
6 St. Bereichskontrolleinheit 2-fach			
50 St. Gasentnahmestelle Sauerstoff			
50 St. Gasentnahmestelle Druckluft			
6 St. CO2-Anschluss Wasserspender			
1.700 m Kupferrohr DN 10 bis DN 32			
230 St. Brandschutzdurchführung DN 10 bis DN 32			
1 St. WC-Container für eigenes Gewerk inkl. Unterhalt",works,,
10378e48-0f31-45a3-803b-70697da982cd,1,LOT-0000,93f8779e-5800-4eb4-b2a3-585b499d29f3,competition,cn-standard,2026-09-17T08:06:08Z,lot,"[""45000000""]",DL BÖ 183/26,"Neubau eines 2-geschossigen Hortgebäudes in Gernrode, Metallbauarbeiten und Verglasung","Außentüren:
- 1 St EG, AT 1.1- Treppenraum Notausgang A, Automatiktür m. Festfeld, b/h = ca. 174,5/ 251 cm, ds
- 1 St EG, AT 1.2- Garderobe/ Sitzen Notausgang C m. Festfeld, b/h = ca. 174,5/ 251 cm, ds
- 1 St EG, AT 1.4- Mehrzweckraum Notausgang B Garten Süd, zweiflügelig, b/h = ca. 248/ 251 cm, ds
- 1 St OG, AT 2.1- Treppenraum m. Festfeld, b/h = ca. 174,5/ 251 cm, ds
- 1 St OG, AT2.2- Garderobe/ Sitzen m. Festfeld, b/h = ca. 174,5/ 251 cm, ds
- 1 St OG, AT2.3- Mehrzweckraum Notausgang E, Garten Süd, zweiflügelig, b/h= ca.248/ 251cm, ds
Aluminium Innentüren Brand-/ Rauchschutz T30:
- 1 St EG,T1.1- Treppenraum TH Raum 1.1, T30 rd ss, 2-flg., b/h= 150/226cm
- 1 St EG, T1.1 - Treppenraum TH Raum 1.1 , T30 rd ss, 2-flg., b/h = 150/226 cm
- 1 St EG, T1.9 - Bereich 1 Garderobe Raum 1.7 , T30 rd ss, 2-flg. asym., b/h = ca. 189/226 cm
- 1 St EG, T1.10 - Bereich 1 Garderobe Raum 1.7 , T30 rd ss, 2-flg. asym., b/h = ca. 189/226 cm
- 1 St OG, T2.1 - Treppenraum TH Raum 2.1 , T30 rd ss, 2-flg., b/h = 150/226 cm
- 1 St OG, T2.2 - Treppenraum TH Raum 2.1 , T30 rd ss, 2-flg. m. Antrieb, b/h = 201/226 cm
- 1 St OG, T2.8 - Bereich 2 Garderobe Raum 2.7 , T30 rd ss, 2-flg., b/h = ca. 189/226 cm
- 1 St OG, T2.9 - Bereich 2 Garderobe Raum 2.7 , T30 rd ss, 2-flg., b/h = ca. 189/226 cm
Stahltüren:
- 1 St AT1.3, b/h = ca. 126/213,5 cm, T30, ds, ss",works,,
