noticeIdentifier,noticeVersion,lotIdentifier,sourceType,sourceUrl,fileName,localPath,containerPath,extension,sizeBytes,sha256,textStatus,needsOcr,error
25812978,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E62259777/1789109271420/bekanntmachung.pdf,Bekanntmachung_E62259777.pdf,outputs\cpv45_pipeline\attachments\25812978\1\LOT-0000\Bekanntmachung_E62259777.pdf,,.pdf,70669,d01345116d097b69ff8be1b07388a10262c1fd81ed6819ef2817a34ef94649f4,text_extracted,False,
25822940,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E89434967/1789478550592/bekanntmachung.pdf,Bekanntmachung_E89434967.pdf,outputs\cpv45_pipeline\attachments\25822940\1\LOT-0000\Bekanntmachung_E89434967.pdf,,.pdf,67888,623189923239c8a71f5c4dfd72592b410145ef9e401c2b1dce10ffe61acc68b6,text_extracted,False,
25828042,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E27256881/1789539619102/bekanntmachung.pdf,Bekanntmachung_E27256881.pdf,outputs\cpv45_pipeline\attachments\25828042\1\LOT-0000\Bekanntmachung_E27256881.pdf,,.pdf,62151,c48e606104b62c1cc66718dc53470a03f3620be1d2571503e134e0c51bf4476d,text_extracted,False,
25828062,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E46588425/1789555593820/bekanntmachung.pdf,Bekanntmachung_E46588425.pdf,outputs\cpv45_pipeline\attachments\25828062\1\LOT-0000\Bekanntmachung_E46588425.pdf,,.pdf,68394,52491f07f404cf368664d6a43dc78f4404a268acb930f2b6516a868722ed5e0c,text_extracted,False,
25828070,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E25431875/1789549920162/bekanntmachung.pdf,Bekanntmachung_E25431875.pdf,outputs\cpv45_pipeline\attachments\25828070\1\LOT-0000\Bekanntmachung_E25431875.pdf,,.pdf,65922,68f9da30caa71ad26ea37e7209b012573b7d6a2c2216ffd2377d98981a9fe942,text_extracted,False,
25828074,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E25432542/1789551566834/bekanntmachung.pdf,Bekanntmachung_E25432542.pdf,outputs\cpv45_pipeline\attachments\25828074\1\LOT-0000\Bekanntmachung_E25432542.pdf,,.pdf,66333,3d28411b1441d4632ae4c549701489632f208d2f14318a52dd5651d3e168c110,text_extracted,False,
25828078,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E63448159/1789552718725/bekanntmachung.pdf,Bekanntmachung_E63448159.pdf,outputs\cpv45_pipeline\attachments\25828078\1\LOT-0000\Bekanntmachung_E63448159.pdf,,.pdf,66275,939c363fb16918f19947141f7b78c6284dbbc8138ec6f4bd18353181339d2f9a,text_extracted,False,
25828082,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E82452562/1789553538765/bekanntmachung.pdf,Bekanntmachung_E82452562.pdf,outputs\cpv45_pipeline\attachments\25828082\1\LOT-0000\Bekanntmachung_E82452562.pdf,,.pdf,64601,eb0fd67099dd6758f2d7e9451144db7f4952d51acf8de1bdacf66170bcbd81a3,text_extracted,False,
25828086,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E77712671/1789553606105/bekanntmachung.pdf,Bekanntmachung_E77712671.pdf,outputs\cpv45_pipeline\attachments\25828086\1\LOT-0000\Bekanntmachung_E77712671.pdf,,.pdf,65750,f3f2428e3d61f9f5ac56426c15daa2695c963545da59ccf70b9117e1ceae84bd,text_extracted,False,
25828090,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E77777168/1789554083730/bekanntmachung.pdf,Bekanntmachung_E77777168.pdf,outputs\cpv45_pipeline\attachments\25828090\1\LOT-0000\Bekanntmachung_E77777168.pdf,,.pdf,66100,52fed81529735f237461d59ee147a46d498a1376fd609ea7b072a82bc7e193e2,text_extracted,False,
25828098,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E64422723/1789556813637/bekanntmachung.pdf,Bekanntmachung_E64422723.pdf,outputs\cpv45_pipeline\attachments\25828098\1\LOT-0000\Bekanntmachung_E64422723.pdf,,.pdf,64003,58ddaf8e2460953ed35da49397341bf709a10b050497df68d9a9b39ae08ca390,text_extracted,False,
25828114,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E66728116/1789563133579/bekanntmachung.pdf,Bekanntmachung_E66728116.pdf,outputs\cpv45_pipeline\attachments\25828114\1\LOT-0000\Bekanntmachung_E66728116.pdf,,.pdf,63658,8eccae070aecbce288af887b1fe4e54daaffb4a9b346dc1c8b635efcdd9ce6ff,text_extracted,False,
25828118,1,LOT-0000,automatic_download,https://www.subreport-elvis.de/download/bund/E49925188/1789563345870/bekanntmachung.pdf,Bekanntmachung_E49925188.pdf,outputs\cpv45_pipeline\attachments\25828118\1\LOT-0000\Bekanntmachung_E49925188.pdf,,.pdf,66626,16a238912cde4523406841a47ff2b3aec7196214c01cbf79c66027e28da1fdc8,text_extracted,False,
